size time
35016 1.289
50200 2.03
37496 1.261
46416 2.143
52752 2.924
52752 2.901
58864 3.327
58864 3.419
56800 2.198
52760 2.044
34552 1.244
106440 4.758
65888 2.708
72632 3.125
61216 2.613
67704 2.811
42152 1.483
32456 1.1
96728 4.908
67280 2.644
35176 1.263
41360 1.514
53336 1.999
63680 2.455
48360 1.746
32040 1.164
51432 1.941
37416 1.325
32504 1.175
34320 1.223
37448 1.337
45264 1.521
32616 1.108
43904 1.7
34536 1.252
110432 4.658
44448 1.602
53504 2.266
32880 1.086
32560 1.165
63032 2.554
54392 2.13
45200 1.64
73120 3.052
101672 4.55
96152 4.416
91776 4.199
100680 4.494
50280 2.064
49496 1.801
54696 2.014
163520 8.225
187792 11.011
73576 2.921
98144 4.386
88416 3.716
155376 7.912
173976 8.729
57992 1.988
44944 1.58
161216 8.314
44640 1.778
45128 1.658
50072 1.783
176816 9.96
141216 7.062
40408 1.622
55128 2.322
49952 1.917
67496 2.896
189512 10.113
49968 1.82
58752 2.43
44856 1.641
55200 2.064
64736 2.736
50192 1.912
44848 1.614
88248 3.717
44888 1.648
173976 8.705
13600 0.418
63144 2.99
89544 4.128
49960 1.912
54544 2.165
64120 2.613
168296 8.61
49416 1.845
173952 9.899
49880 1.781
45344 1.845
107208 4.945
107208 4.988
49672 1.764
45208 1.736
55688 2.081
96848 4.254
44840 1.641
88288 4.027
210072 12.213
50048 1.856
64312 2.609
87352 3.856
97168 4.592
75128 3.446
49936 1.816
83672 3.818
50152 2.026
67248 3.434
79840 5.015
79840 5.032
96224 6.16
96224 6.035
82168 3.433
78736 3.494
45440 1.723
166528 8.969
96800 4.3
129960 6.431
102744 4.821
105272 4.7
54712 2.267
44848 1.588
173024 9.687
100928 4.692
45584 1.807
58520 2.307
74256 3.067
96096 4.145
67816 2.798
40408 1.496
68224 2.965
50064 1.98
44880 1.652
45088 1.749
50152 1.894
59880 2.367
44856 1.65
62912 2.798
45504 1.717
173984 8.727
60000 2.411
89792 3.985
44936 1.635
44896 1.642
50432 1.842
45880 1.614
36696 1.237
56056 2.183
72704 2.905
71264 2.865
70984 2.689
75552 2.923
41576 1.425
40992 1.256
42096 1.525
126264 5.551
130208 6.59
56880 2.066
73088 2.812
71728 2.71
110096 5.081
132584 5.645
49592 1.607
36440 1.18
115824 5.226
36136 1.302
36624 1.287
41568 1.381
119248 5.961
99968 7.223
36000 1.284
46672 1.64
41448 1.394
50848 2.149
135488 6.29
41224 1.341
50240 1.77
36352 1.212
41688 1.429
56248 1.979
41712 1.422
36344 1.176
67464 2.574
36400 1.152
132584 5.626
13632 0.392
50536 2.004
60504 2.608
41456 1.418
46040 1.542
51504 1.863
122672 5.451
40912 1.256
120448 5.947
41384 1.387
40936 1.354
78240 3.184
74128 3.127
41128 1.316
40800 1.339
47192 1.523
75944 3.072
36336 1.247
59224 2.489
144376 7.596
41560 1.393
51720 1.737
66680 2.593
72144 2.773
54280 2.11
41432 1.389
58856 2.321
41408 1.436
50544 2.415
59000 2.959
59000 3.116
63096 3.51
63096 3.494
65568 2.512
62040 2.335
36936 1.302
125328 5.839
76072 3.044
88688 3.853
69752 2.98
76288 3.164
46208 1.656
36344 1.162
115432 5.815
80176 3.147
41176 1.321
45920 1.612
57648 2.218
71104 2.748
55216 1.98
36000 1.125
55712 2.131
41576 1.47
36392 1.161
36584 1.214
41648 1.355
51384 1.705
36344 1.22
50304 1.836
37000 1.255
132584 5.665
47400 1.767
60784 2.57
36448 1.244
36352 1.229
48840 1.849
44968 1.652
36032 1.3
55216 2.195
69128 2.87
68776 3.011
68472 2.791
73104 3.16
40856 1.565
40360 1.356
45448 1.595
118072 5.473
136528 8.196
55144 2.211
71328 3.094
69888 2.858
106752 5.253
135024 6.765
44736 1.616
35864 1.259
115896 5.674
35520 1.341
35968 1.291
40808 1.411
126312 7.529
102608 7.954
35464 1.176
49648 1.918
40672 1.497
54328 2.357
126352 6.116
40568 1.428
49056 1.785
35776 1.186
40896 1.484
54976 2.178
40944 1.496
35768 1.218
65648 2.68
35824 1.334
135024 6.797
13488 0.424
49584 1.984
58728 2.557
40056 1.413
44456 1.601
50344 1.813
117216 5.556
40136 1.461
127664 7.6
40728 1.34
40224 1.342
75904 3.425
76776 3.306
40352 1.418
35816 1.345
46120 1.618
82080 3.776
35728 1.262
58096 2.442
151256 9.002
40456 1.535
50288 2.041
65056 2.658
69384 3.043
49112 2.169
39856 1.329
53472 2.372
40688 1.641
49592 2.443
58040 3.358
58040 3.351
62136 3.802
62136 3.788
64040 2.55
59920 2.383
36296 1.345
128848 6.503
74760 3.171
85568 4.07
68504 2.955
78672 3.479
45360 1.784
35768 1.202
122848 7.203
77280 3.43
40568 1.33
44320 1.738
56712 2.243
69000 3.018
57608 2.208
35464 1.192
54728 2.285
40720 1.512
35784 1.249
40024 1.379
40832 1.519
50320 1.912
35776 1.248
49464 1.979
36336 1.354
135024 6.828
46568 1.748
59264 2.487
35880 1.269
35776 1.258
48840 1.852
44968 1.721
36032 1.326
55216 2.238
69096 2.914
72832 3.023
68432 2.866
73064 3.193
44952 1.599
40360 1.362
45408 1.558
117976 5.559
148744 8.803
55144 2.227
75424 3.25
69848 2.906
110848 5.341
134936 6.853
48832 1.605
35864 1.233
115864 5.903
39616 1.297
35968 1.235
40776 1.46
134472 8.22
106576 9.2
35464 1.213
49616 1.941
40672 1.553
54328 2.512
126352 6.216
40568 1.443
49056 1.791
35776 1.204
40896 1.543
54888 2.27
40944 1.483
35768 1.286
65648 2.738
35824 1.195
134936 6.676
13488 0.448
49584 2.086
58728 2.508
40056 1.335
44456 1.605
50344 1.854
117184 5.568
40136 1.488
135816 8.125
40728 1.483
40224 1.444
75904 3.417
76776 3.319
40352 1.416
39912 1.372
46120 1.567
86136 4.014
35728 1.309
58096 2.464
159368 9.863
40456 1.537
50288 2.029
65024 2.782
73448 3.074
53208 2.166
39856 1.388
57568 2.459
40688 1.572
53688 2.405
58000 3.376
58000 3.31
66232 3.736
66232 3.743
64040 2.665
59920 2.464
40392 1.284
128768 6.954
74760 3.205
101816 5.308
68504 3.098
78632 3.542
45360 1.727
35768 1.277
131008 7.842
77248 3.542
40568 1.424
44320 1.677
56712 2.211
73096 3.044
57608 2.312
35464 1.177
54728 2.309
40720 1.487
35784 1.24
40024 1.326
40792 1.542
50248 1.96
35776 1.3
49464 1.987
40432 1.38
134944 6.775
50664 1.814
59264 2.527
35880 1.218
35776 1.214
45536 1.693
45672 1.543
36688 1.23
55968 2
66408 2.604
65928 2.737
65624 2.497
70256 2.747
41512 1.383
41072 1.278
42136 1.412
115384 4.911
118048 6.225
51920 1.858
72328 2.724
70584 2.583
103784 4.748
120272 5.419
45424 1.537
36520 1.233
109192 4.958
36176 1.258
36616 1.252
41488 1.337
107632 5.707
95224 7.195
36120 1.141
46344 1.577
