Total Decode Datalog Size
0.483 0.130 0.143 17464
0.559 0.151 0.164 19000
0.777 0.217 0.241 23320
0.436 0.114 0.119 15960
0.981 0.284 0.311 30568
0.552 0.149 0.153 22376
0.728 0.201 0.230 22376
0.767 0.214 0.244 26472
0.505 0.136 0.145 18280
0.951 0.269 0.322 30568
0.632 0.174 0.189 22376
0.641 0.179 0.185 22376
0.986 0.262 0.325 30568
0.507 0.144 0.150 22376
0.972 0.263 0.330 27080
0.618 0.166 0.180 20072
0.663 0.180 0.202 21192
0.835 0.236 0.264 24744
0.533 0.140 0.157 18504
1.205 0.344 0.382 34648
0.654 0.180 0.193 22360
0.825 0.228 0.260 26456
0.875 0.237 0.277 26456
0.573 0.162 0.176 22360
1.417 0.411 0.485 38792
0.831 0.229 0.259 26504
0.851 0.243 0.253 26504
1.409 0.380 0.471 38792
0.666 0.189 0.201 22408
1.374 0.369 0.488 35560
0.754 0.225 0.240 24968
0.833 0.230 0.250 26728
1.208 0.336 0.389 32200
0.707 0.189 0.210 22632
1.621 0.452 0.533 42856
0.815 0.230 0.259 26472
1.097 0.310 0.359 30568
1.178 0.328 0.396 30568
0.792 0.224 0.244 26472
1.084 0.301 0.353 34872
0.706 0.194 0.212 26664
0.753 0.211 0.227 26664
1.378 0.379 0.455 38952
0.606 0.159 0.187 22568
1.084 0.303 0.362 31832
0.668 0.190 0.210 24232
0.791 0.217 0.231 26888
1.292 0.351 0.412 35080
0.604 0.161 0.179 22792
1.297 0.382 0.412 38936
0.719 0.201 0.213 26536
1.003 0.273 0.328 30632
1.024 0.282 0.332 30632
0.675 0.183 0.203 26536
1.011 0.280 0.323 30576
0.600 0.164 0.181 22384
0.706 0.183 0.204 22384
1.186 0.300 0.425 30576
0.499 0.135 0.150 22384
0.963 0.252 0.336 27280
0.598 0.159 0.178 19920
0.697 0.185 0.203 22608
0.916 0.242 0.293 25584
0.509 0.132 0.149 18512
1.143 0.316 0.377 34656
0.647 0.172 0.185 22368
0.855 0.224 0.292 26464
0.926 0.240 0.331 26464
0.596 0.157 0.182 22368
0.895 0.264 0.305 26472
0.585 0.147 0.171 22376
0.603 0.157 0.181 22376
0.847 0.220 0.290 26472
0.471 0.119 0.134 18280
0.876 0.222 0.305 24456
0.639 0.140 0.175 18504
0.649 0.160 0.189 19496
0.788 0.201 0.258 22600
0.482 0.119 0.136 16168
1.059 0.297 0.372 30552
0.560 0.156 0.170 22360
0.772 0.207 0.247 22360
0.793 0.212 0.264 26456
0.531 0.140 0.165 18264
4.791 0.837 1.417 79816
2.875 0.632 1.048 67504
3.015 0.686 1.082 71600
3.856 0.826 1.405 79792
1.559 0.384 0.494 51120
4.735 0.777 1.397 76648
3.145 0.655 1.095 65584
3.024 0.671 1.097 67728
4.320 0.939 1.858 84112
1.523 0.379 0.476 47664
4.582 0.855 1.297 79784
1.813 0.458 0.613 55192
3.511 0.758 1.392 75672
3.631 0.791 1.423 75672
2.787 0.589 1.059 63384
1.065 0.299 0.374 30568
0.684 0.184 0.208 22376
0.746 0.198 0.221 26472
1.727 0.475 0.616 42856
0.565 0.152 0.179 22376
1.096 0.294 0.374 30792
0.680 0.181 0.207 21384
0.741 0.197 0.231 22952
1.686 0.454 0.579 40168
0.564 0.151 0.177 19208
1.320 0.373 0.451 34648
0.725 0.197 0.215 26456
0.951 0.254 0.322 26456
1.005 0.268 0.332 26456
0.656 0.181 0.209 22360
0.835 0.251 0.281 26472
0.547 0.145 0.160 22376
0.582 0.158 0.166 22376
0.803 0.216 0.268 26472
0.470 0.119 0.127 18280
0.844 0.227 0.276 25160
0.511 0.141 0.149 18760
0.572 0.156 0.169 20136
0.735 0.203 0.229 22888
0.438 0.118 0.127 17096
1.045 0.298 0.340 30552
0.563 0.154 0.160 22360
0.764 0.200 0.233 22360
0.788 0.206 0.239 26456
0.526 0.143 0.152 18264
1.000 0.304 0.339 30568
0.640 0.176 0.189 22376
0.699 0.185 0.212 22376
0.959 0.245 0.319 26472
0.547 0.142 0.156 22376
0.993 0.267 0.337 28040
0.640 0.175 0.193 20520
0.710 0.194 0.217 22600
0.859 0.228 0.276 24808
0.516 0.136 0.153 18504
1.197 0.344 0.380 34648
0.645 0.179 0.192 22360
0.824 0.227 0.275 26456
0.893 0.230 0.283 26456
0.595 0.163 0.182 22360
1.074 0.318 0.346 34976
0.727 0.208 0.216 26744
0.750 0.216 0.217 30840
1.068 0.285 0.336 34936
0.628 0.178 0.181 26744
1.108 0.304 0.354 35200
0.713 0.206 0.204 25656
0.782 0.223 0.217 27096
1.029 0.288 0.328 31320
0.630 0.172 0.179 23160
1.338 0.383 0.413 39024
0.765 0.209 0.220 30824
